1.8000100000e-03   3.1048300000e+04   2.5291700000e-04   1.5985000000e+03   1.6002700000e-06   4.8240500000e-01   3.5756500000e-02   1.3762500000e-01   3.3898000000e-03   7.0743600000e-02   2.1222500000e-01   3.2869900000e-03   5.3742700000e-02   0.0000000000e+00   8.2357900000e-04   
1.9000000000e-03   2.9155300000e+04   2.5281700000e-04   1.5991300000e+03   2.4777500000e-06   5.1875900000e-01   5.6838600000e-02   1.4534900000e-01   5.3265300000e-03   7.1245400000e-02   1.5542100000e-01   2.4171900000e-03   4.3810900000e-02   0.0000000000e+00   8.2986500000e-04   
2.0000000000e-03   2.7296900000e+04   2.5284800000e-04   1.5989300000e+03   3.7355500000e-06   5.3987300000e-01   8.6861000000e-02   1.5109600000e-01   8.1100600000e-03   7.0751500000e-02   1.0532800000e-01   1.6464200000e-03   3.5592700000e-02   0.0000000000e+00   7.3745900000e-04   
2.1000100000e-03   2.5445100000e+04   2.5440500000e-04   1.5891500000e+03   5.3651500000e-06   5.4149700000e-01   1.2551100000e-01   1.5470900000e-01   1.1807500000e-02   6.9585800000e-02   6.6288700000e-02   1.0370500000e-03   2.8997900000e-02   0.0000000000e+00   5.6041300000e-04   
2.2000000000e-03   2.3584100000e+04   2.5905700000e-04   1.5606100000e+03   7.2428100000e-06   5.2512700000e-01   1.6971900000e-01   1.5635300000e-01   1.6280700000e-02   6.8067100000e-02   3.9680400000e-02   6.0864500000e-04   2.3798300000e-02   0.0000000000e+00   3.5833700000e-04   
2.3000000000e-03   2.1733600000e+04   2.6796900000e-04   1.5087100000e+03   9.1617500000e-06   4.9753100000e-01   2.1450900000e-01   1.5651100000e-01   2.1178800000e-02   6.6414600000e-02   2.3602900000e-02   3.3668100000e-04   1.9709100000e-02   0.0000000000e+00   1.9785900000e-04   
2.4000000000e-03   1.9971600000e+04   2.8116700000e-04   1.4378900000e+03   1.0914700000e-05   4.6686900000e-01   2.5502300000e-01   1.5584200000e-01   2.6032100000e-02   6.4732600000e-02   1.4734600000e-02   1.8024800000e-04   1.6470700000e-02   0.0000000000e+00   1.0440600000e-04   
2.5000000000e-03   1.8404900000e+04   2.9725300000e-04   1.3600800000e+03   1.2375000000e-05   4.3897700000e-01   2.8841900000e-01   1.5495500000e-01   3.0431900000e-02   6.3047900000e-02   1.0119800000e-02   9.7421300000e-05   1.3880600000e-02   0.0000000000e+00   5.9726200000e-05   
2.6000100000e-03   1.7106400000e+04   3.1406000000e-04   1.2872900000e+03   1.3520400000e-05   4.1619800000e-01   3.1434500000e-01   1.5421700000e-01   3.4172200000e-02   6.1357300000e-02   7.8122700000e-03   5.5543800000e-05   1.1791000000e-02   0.0000000000e+00   3.8437600000e-05   
2.7000000000e-03   1.6078000000e+04   3.2989300000e-04   1.2255100000e+03   1.4396400000e-05   3.9847300000e-01   3.3397800000e-01   1.5375300000e-01   3.7247100000e-02   5.9657000000e-02   6.7242200000e-03   3.4190200000e-05   1.0092600000e-02   0.0000000000e+00   2.7233900000e-05   
2.8000000000e-03   1.5276100000e+04   3.4398700000e-04   1.1753000000e+03   1.5067000000e-05   3.8482900000e-01   3.4886800000e-01   1.5355100000e-01   3.9756000000e-02   5.7948200000e-02   6.2895200000e-03   2.2747500000e-05   8.6999400000e-03   0.0000000000e+00   2.0759400000e-05   
2.9000000000e-03   1.4648500000e+04   3.5621200000e-04   1.1349600000e+03   1.5587000000e-05   3.7426600000e-01   3.6031000000e-01   1.5355800000e-01   4.1815800000e-02   5.6237200000e-02   6.2165600000e-03   1.6201000000e-05   7.5477700000e-03   0.0000000000e+00   1.6721500000e-05   
3.0000000000e-03   1.4151500000e+04   3.6671000000e-04   1.1024700000e+03   1.5996500000e-05   3.6600100000e-01   3.6924300000e-01   1.5371900000e-01   4.3527300000e-02   5.4531500000e-02   6.3496200000e-03   1.2209600000e-05   6.5857200000e-03   0.0000000000e+00   1.4043200000e-05   
3.1000100000e-03   1.3753200000e+04   3.7569100000e-04   1.0761100000e+03   1.6323600000e-05   3.5947100000e-01   3.7631600000e-01   1.5399200000e-01   4.4968200000e-02   5.2838300000e-02   6.6009500000e-03   9.6382400000e-06   5.7752600000e-03   0.0000000000e+00   1.2179600000e-05   
3.2000000000e-03   1.3430400000e+04   3.8336300000e-04   1.0545800000e+03   1.6587800000e-05   3.5428300000e-01   3.8197000000e-01   1.5434600000e-01   4.6195900000e-02   5.1164600000e-02   6.9179800000e-03   7.9038400000e-06   5.0871600000e-03   0.0000000000e+00   1.0834500000e-05   
