#  y            T_fitted
   1.3339e-03   3.0246e+04
   2.3105e-03   2.9895e+04
   3.2872e-03   2.8758e+04
   4.2638e-03   2.7092e+04
   5.2405e-03   2.4250e+04
   6.2172e-03   2.1365e+04
   7.1938e-03   1.8442e+04
   8.1705e-03   1.6486e+04
   9.1471e-03   1.4868e+04
   1.0124e-02   1.3905e+04
   1.1100e-02   1.3046e+04
   1.2077e-02   1.2534e+04
   1.3054e-02   1.2070e+04
   1.4030e-02   1.1679e+04
   1.5007e-02   1.1322e+04
   1.5984e-02   1.0987e+04
   1.6960e-02   1.0428e+04
   1.7937e-02   9.8214e+03
   1.8914e-02   9.1655e+03
   1.9890e-02   8.4870e+03
   2.0867e-02   7.7527e+03
   2.1844e-02   7.0005e+03
   2.2820e-02   6.2315e+03
   2.3797e-02   5.5707e+03
   2.4774e-02   4.9471e+03
   2.5750e-02   4.3553e+03
   2.6727e-02   3.7787e+03
   2.7704e-02   3.2602e+03
   2.8680e-02   2.8186e+03
   2.9657e-02   2.4827e+03
   3.0634e-02   2.2720e+03
   3.1610e-02   2.0108e+03
   3.2587e-02   1.7829e+03
   3.3564e-02   1.5840e+03
   3.4540e-02   1.4104e+03
   3.5517e-02   1.2589e+03
   3.6493e-02   1.1267e+03
   3.7470e-02   1.0113e+03
   3.8447e-02   9.1055e+02
   3.9424e-02   8.2266e+02
   4.0400e-02   7.4596e+02
   4.1377e-02   6.7901e+02
   4.2353e-02   6.2060e+02
   4.3330e-02   5.6961e+02
   4.4307e-02   5.2511e+02
   4.5283e-02   4.8628e+02
   4.6260e-02   4.5239e+02
   4.7237e-02   4.2281e+02
   4.8213e-02   3.9700e+02
   4.9190e-02   3.7447e+02
   5.0167e-02   3.5481e+02
   5.1143e-02   3.3765e+02
   5.2120e-02   3.2268e+02
   5.3097e-02   3.0961e+02
   5.4073e-02   2.9820e+02
   5.5050e-02   2.8825e+02
   5.6027e-02   2.7956e+02
   5.7003e-02   2.7198e+02
   5.7980e-02   2.6537e+02
   5.8957e-02   2.5959e+02
   5.9933e-02   2.5455e+02
   6.0910e-02   2.5016e+02
   6.1887e-02   2.4632e+02
   6.2863e-02   2.4297e+02
   6.3840e-02   2.4004e+02
   6.4816e-02   2.3749e+02
   6.5793e-02   2.3527e+02
   6.6770e-02   2.3332e+02
   6.7747e-02   2.3163e+02
   6.8723e-02   2.3015e+02
   6.9700e-02   2.2886e+02
   7.0677e-02   2.2773e+02
   7.1653e-02   2.2675e+02
   7.2630e-02   2.2589e+02
   7.3606e-02   2.2514e+02
   7.4583e-02   2.2448e+02
   7.5560e-02   2.2391e+02
   7.6536e-02   2.2342e+02
   7.7513e-02   2.2298e+02
   7.8490e-02   2.2260e+02
   7.9466e-02   2.2227e+02
   8.0443e-02   2.2198e+02
   8.1420e-02   2.2173e+02
   8.2396e-02   2.2151e+02
   8.3373e-02   2.2132e+02
   8.4350e-02   2.2115e+02
   8.5326e-02   2.2100e+02
   8.6303e-02   2.2088e+02
   8.7280e-02   2.2076e+02
   8.8256e-02   2.2067e+02
   8.9233e-02   2.2058e+02
   9.0210e-02   2.2051e+02
   9.1186e-02   2.2044e+02
   9.2163e-02   2.2039e+02
   9.3140e-02   2.2034e+02
   9.4116e-02   2.2029e+02
   9.5093e-02   2.2026e+02
   9.6070e-02   2.2022e+02
   9.7046e-02   2.2020e+02
   9.8023e-02   2.2017e+02

