#"Temp","n_e-","n_N","n_N+","n_O","n_O+","n_NO","n_N2","n_N2+","n_O2","n_O2+","n_NO+","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
#nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00000e+00,2.55000e-02,3.57211e-04,0.00000e+00
5.57072e+03,2.00664e+17,2.88944e+19,1.99319e+16,1.82038e+19,4.88573e+16,2.15842e+17,9.87426e+20,1.02589e+17,2.53962e+20,7.77922e+15,2.15068e+16,1,2.34398e-02,2.55000e-02,2.37970e-02,0.00000e+00
4.94710e+03,2.06466e+17,2.38074e+19,2.11288e+16,1.50739e+19,5.39622e+16,1.33183e+17,9.82863e+20,7.19344e+16,2.53263e+20,1.82327e+16,4.12079e+16,1,2.44164e-02,2.55000e-02,2.47736e-02,0.00000e+00
4.35532e+03,1.45322e+17,2.01992e+19,1.45850e+16,1.23766e+19,4.95694e+16,1.02554e+17,9.74164e+20,4.88248e+16,2.51196e+20,1.33976e+16,1.89448e+16,1,2.53931e-02,2.55000e-02,2.57503e-02,0.00000e+00
3.77867e+03,8.80100e+16,1.68552e+19,8.17529e+15,9.84236e+18,4.21798e+16,7.94784e+16,9.66166e+20,2.87807e+16,2.49726e+20,8.87411e+15,0.00000e+00,1,2.63697e-02,2.55000e-02,2.67269e-02,0.00000e+00
3.26020e+03,5.49174e+16,1.44102e+19,3.29541e+15,7.92347e+18,2.36751e+16,8.08697e+16,9.61573e+20,2.03817e+16,2.50887e+20,7.56514e+15,0.00000e+00,1,2.73464e-02,2.55000e-02,2.77036e-02,0.00000e+00
2.81856e+03,3.88641e+16,1.21603e+19,4.71726e+15,6.46938e+18,1.47913e+16,7.93614e+16,9.58400e+20,1.38413e+16,2.51164e+20,5.51426e+15,0.00000e+00,1,2.83230e-02,2.55000e-02,2.86802e-02,0.00000e+00
2.48270e+03,4.62728e+16,1.01791e+19,1.48162e+16,5.65528e+18,1.91547e+16,7.38605e+16,9.57183e+20,9.86016e+15,2.50225e+20,2.44180e+15,0.00000e+00,1,2.92997e-02,2.55000e-02,2.96569e-02,0.00000e+00
2.36351e+03,3.34969e+16,6.49084e+18,1.26038e+16,3.67584e+18,1.41812e+16,4.92556e+16,9.57438e+20,5.78619e+15,2.51472e+20,9.25674e+14,0.00000e+00,1,3.02763e-02,2.55000e-02,3.06336e-02,0.00000e+00
2.36351e+03,9.61662e+15,1.86346e+18,3.61841e+15,1.05530e+18,4.07130e+15,1.41408e+16,9.58504e+20,1.66116e+15,2.53920e+20,2.65752e+14,0.00000e+00,1,3.12530e-02,2.55000e-02,3.16102e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,3.22297e-02,2.55000e-02,3.25869e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,3.32063e-02,2.55000e-02,3.35635e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,3.41830e-02,2.55000e-02,3.45402e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,3.51596e-02,2.55000e-02,3.55168e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,3.61363e-02,2.55000e-02,3.64935e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,3.71129e-02,2.55000e-02,3.74701e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,3.80896e-02,2.55000e-02,3.84468e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,3.90662e-02,2.55000e-02,3.94235e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.00429e-02,2.55000e-02,4.04001e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.10196e-02,2.55000e-02,4.13768e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.19962e-02,2.55000e-02,4.23534e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.29729e-02,2.55000e-02,4.33301e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.39495e-02,2.55000e-02,4.43067e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.49262e-02,2.55000e-02,4.52834e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.59028e-02,2.55000e-02,4.62601e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.68795e-02,2.55000e-02,4.72367e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.78562e-02,2.55000e-02,4.82134e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.88328e-02,2.55000e-02,4.91900e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,4.98095e-02,2.55000e-02,5.01667e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.07861e-02,2.55000e-02,5.11433e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.17628e-02,2.55000e-02,5.21200e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.27394e-02,2.55000e-02,5.30966e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.37161e-02,2.55000e-02,5.40733e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.46927e-02,2.55000e-02,5.50500e-02,0.00000e+00
2.36351e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.58934e+20,0.00000e+00,2.54906e+20,0.00000e+00,0.00000e+00,1,5.56694e-02,2.55000e-02,5.60266e-02,0.00000e+00
